Modelo educativo flexible,Ciclo 0 Adultos,Ciclo 1 Adultos,Ciclo 2 Adultos,Ciclo 3 Adultos,Ciclo 4 Adultos,Ciclo 5 Adultos,Ciclo 6 Adultos,total
Educación Tradicional,,,157,140,147,114,95,653
SER,,18.521,2.827,2.374,2.497,1.041,1.497,28.757
CAFAM,1,187,528,876,3.683,1.596,1.621,8.492
SAT,,10,71,6.192,5.530,1.778,5.011,18.592
Programa para Jóvenes en Extraedad y Adultos,,10.012,34.258,105.129,120.934,56.004,95.367,421.704
Transformemos,,,10.394,5.043,2.862,1.784,1.723,21.806
Grupos Juveniles Creativos,,,,2.132,2.141,1.247,713,6.233
Modalidad Virtual Asistida UCN,,261,93,1.211,1.949,793,1.353,5.660
A Crecer,,27.125,471,,,,,27.596
Bachillerato Pacicultor,,,,,163,,,163
"Modelo ser humano (Ciclo 1, 2, 3, 4, 5,6)",,9,7.846,10.246,9.976,6.164,8.574,42.815
Espere,,27.184,28,,,,,27.212
Escuela Indígena Intercultural De Jóvenes y Adultos,,3,388,495,618,434,152,2.090
Formación para la Reintegración,,314,999,987,780,410,731,4.221
Etnoeducativo para Comunidades Negras - Pacífico Colombiano,,687,,,,,,687
Flexible Escuela Integral,,,547,1.037,1.117,90,597,3.388
Total,1,84.313,58.607,135.862,152.397,71.455,117.434,620.069
